DYJetsToLLM10to50_2018/
nentries=1241344 nMax=1241344
nentries=2253042 nMax=2253042
nentries=2253559 nMax=2253559
nentries=2252779 nMax=2252779
nentries=530084 nMax=530084
nentries=1458306 nMax=1458306
nentries=1394104 nMax=1394104
nentries=1358669 nMax=1358669
nentries=797350 nMax=797350
nentries=1183335 nMax=1183335
nentries=1194608 nMax=1194608
nentries=425516 nMax=425516
nentries=184084 nMax=184084
nentries=12019 nMax=12019
nentries=298254 nMax=298254
nentries=1145368 nMax=1145368
nentries=1653322 nMax=1653322
nentries=1515009 nMax=1515009
nentries=6002 nMax=6002
nentries=1927508 nMax=1927508
nentries=1127219 nMax=1127219
nentries=6027 nMax=6027
nentries=1110333 nMax=1110333
nentries=99067 nMax=99067
nentries=264940 nMax=264940
nentries=1062717 nMax=1062717
nentries=1381148 nMax=1381148
nentries=1203084 nMax=1203084
nentries=1980976 nMax=1980976
nentries=1192959 nMax=1192959
nentries=1500167 nMax=1500167
nentries=948157 nMax=948157
nentries=1392827 nMax=1392827
nentries=2254637 nMax=2254637
nentries=2038571 nMax=2038571
nentries=132356 nMax=132356
nentries=8021 nMax=8021
nentries=538104 nMax=538104
nentries=248013 nMax=248013
nentries=1818562 nMax=1818562
nentries=2252882 nMax=2252882
nentries=1328259 nMax=1328259
nentries=1394051 nMax=1394051
nentries=1721984 nMax=1721984
nentries=1787196 nMax=1787196
nentries=1591380 nMax=1591380
nentries=1235316 nMax=1235316
nentries=1516272 nMax=1516272
nentries=87932 nMax=87932
nentries=1254152 nMax=1254152
nentries=2258753 nMax=2258753
nentries=1116570 nMax=1116570
nentries=2249168 nMax=2249168
nentries=1658203 nMax=1658203
nentries=1306708 nMax=1306708
nentries=66003 nMax=66003
nentries=399649 nMax=399649
nentries=313898 nMax=313898
nentries=47922 nMax=47922
nentries=6005 nMax=6005
nentries=36093 nMax=36093
nentries=2292789 nMax=2292789
nentries=1199141 nMax=1199141
nentries=1207432 nMax=1207432
nentries=529584 nMax=529584
nentries=1194201 nMax=1194201
nentries=1459259 nMax=1459259
nentries=1260926 nMax=1260926
nentries=1726948 nMax=1726948
nentries=1259162 nMax=1259162
nentries=1845610 nMax=1845610
nentries=1170991 nMax=1170991
nentries=1922144 nMax=1922144
nentries=47966 nMax=47966
nentries=134023 nMax=134023
nentries=1657122 nMax=1657122
nentries=265243 nMax=265243
nentries=265149 nMax=265149
nentries=676718 nMax=676718
nentries=1739235 nMax=1739235
nentries=1926721 nMax=1926721
nentries=1927387 nMax=1927387
nentries=197953 nMax=197953
nentries=1526569 nMax=1526569
DYJetsToLLM50_2018/
nentries=94219 nMax=94219
nentries=1125548 nMax=1125548
nentries=198211 nMax=198211
nentries=1924337 nMax=1924337
nentries=941878 nMax=941878
nentries=1792934 nMax=1792934
nentries=398334 nMax=398334
nentries=1938185 nMax=1938185
nentries=242509 nMax=242509
nentries=1328304 nMax=1328304
nentries=1060377 nMax=1060377
nentries=997372 nMax=997372
nentries=1722456 nMax=1722456
nentries=1192551 nMax=1192551
nentries=1122966 nMax=1122966
nentries=1935545 nMax=1935545
nentries=1920240 nMax=1920240
nentries=1921053 nMax=1921053
nentries=1928251 nMax=1928251
nentries=995234 nMax=995234
nentries=995725 nMax=995725
nentries=999182 nMax=999182
nentries=1929126 nMax=1929126
nentries=1919149 nMax=1919149
nentries=1722297 nMax=1722297
nentries=1185409 nMax=1185409
nentries=1921378 nMax=1921378
nentries=1274800 nMax=1274800
nentries=1920892 nMax=1920892
nentries=1920344 nMax=1920344
nentries=1922264 nMax=1922264
nentries=1020252 nMax=1020252
nentries=465252 nMax=465252
nentries=1731654 nMax=1731654
nentries=1919558 nMax=1919558
nentries=1924637 nMax=1924637
nentries=265462 nMax=265462
nentries=980173 nMax=980173
nentries=1924771 nMax=1924771
nentries=1923488 nMax=1923488
nentries=1922809 nMax=1922809
nentries=1923895 nMax=1923895
nentries=1922209 nMax=1922209
nentries=1923449 nMax=1923449
nentries=66271 nMax=66271
nentries=1463405 nMax=1463405
nentries=1920515 nMax=1920515
nentries=1921342 nMax=1921342
nentries=1920489 nMax=1920489
nentries=996474 nMax=996474
nentries=1520502 nMax=1520502
nentries=47173 nMax=47173
nentries=1723879 nMax=1723879
nentries=1791991 nMax=1791991
nentries=1240372 nMax=1240372
nentries=1525561 nMax=1525561
nentries=1921099 nMax=1921099
nentries=863870 nMax=863870
nentries=32295 nMax=32295
nentries=1924611 nMax=1924611
nentries=797692 nMax=797692
nentries=7340 nMax=7340
nentries=530793 nMax=530793
nentries=1026351 nMax=1026351
nentries=1061071 nMax=1061071
nentries=1661296 nMax=1661296
nentries=1920539 nMax=1920539
nentries=1919472 nMax=1919472
nentries=1924386 nMax=1924386
nentries=1437903 nMax=1437903
nentries=727957 nMax=727957
GluGluZH_2018/
nentries=214659 nMax=214659
nentries=26588 nMax=26588
nentries=19550 nMax=19550
nentries=362457 nMax=362457
nentries=171471 nMax=171471
HppM1000_2018/
nentries=175000 nMax=175000
HppM1100_2018/
nentries=170000 nMax=170000
HppM1200_2018/
nentries=176000 nMax=176000
HppM1300_2018/
nentries=110000 nMax=110000
nentries=66000 nMax=66000
HppM1400_2018/
nentries=176000 nMax=176000
HppM600_2018/
nentries=171000 nMax=171000
HppM800_2018/
nentries=176000 nMax=176000
HppM900_2018/
nentries=171000 nMax=171000
HppMM500_2018/
nentries=176000 nMax=176000
ST_s-channel_2018/
nentries=1632000 nMax=1632000
nentries=1230000 nMax=1230000
nentries=90000 nMax=90000
nentries=792000 nMax=792000
nentries=1650000 nMax=1650000
nentries=1385999 nMax=1385999
nentries=1254000 nMax=1254000
nentries=1642000 nMax=1642000
nentries=1056000 nMax=1056000
nentries=1650000 nMax=1650000
nentries=1650000 nMax=1650000
nentries=368000 nMax=368000
nentries=1596000 nMax=1596000
nentries=132000 nMax=132000
nentries=864000 nMax=864000
nentries=104000 nMax=104000
nentries=66000 nMax=66000
nentries=1550000 nMax=1550000
nentries=654000 nMax=654000
ST_t-channel_antitop_2018/
nentries=736000 nMax=736000
nentries=92000 nMax=92000
nentries=264000 nMax=264000
nentries=49000 nMax=49000
nentries=804000 nMax=804000
nentries=970000 nMax=970000
nentries=1056000 nMax=1056000
nentries=528000 nMax=528000
nentries=48000 nMax=48000
nentries=96000 nMax=96000
nentries=34000 nMax=34000
nentries=971000 nMax=971000
nentries=1209000 nMax=1209000
nentries=1368000 nMax=1368000
nentries=1098000 nMax=1098000
nentries=1122000 nMax=1122000
nentries=330000 nMax=330000
nentries=48000 nMax=48000
nentries=839000 nMax=839000
nentries=1138000 nMax=1138000
nentries=396000 nMax=396000
nentries=990000 nMax=990000
nentries=894000 nMax=894000
nentries=809000 nMax=809000
nentries=866000 nMax=866000
nentries=779000 nMax=779000
nentries=1031000 nMax=1031000
nentries=858000 nMax=858000
nentries=870000 nMax=870000
nentries=1470000 nMax=1470000
nentries=1134000 nMax=1134000
