Lumi(pb^-1),Sample,xs(pb),nevents,weight,xs_uncert(%),,,Lumi(pb^-1),Sample,xs(pb),nevents,weight,xs_uncert(%),
59600,DYJetsToLLM10to50_2018,18610,94452816,11.7429638095703,0,0,,59600,WZ_2018,27.6,7940000,0.207173803526448,7.9,12.9297170780856
59600,DYJetsToLLM50_2018,6225.42,96233328,3.85557726944661,0,0,,59600,WZTo3LNu_2018,5.052,9821283,0.0306578274956541,9.9,3.00477367284906
59600,WGToLNuG_2018,489,9850083,2.95879740302696,0,0,,59600,WWW_2018,0.2086,240000,0.0518023333333333,1.5,0.11655525
59600,WW_2018,75.8,15679000,0.288135722941514,5.7,9.3615296383698,,59600,WZZ_2018,0.05565,300000,0.0110558,1.5,0.02487555
59600,WWTo2L2Nu_2018,12.178,9994000,0.0726244546728037,5.7,2.35956853231939,,59600,ZZZ_2018,0.01398,250000,0.003332832,1.5,0.007498872
59600,WZ_2018,27.6,7940000,0.207173803526448,7.9,12.9297170780856,,59600,ttWJets_2018,0.2043,26918526,0.000452338289251053,0,0
59600,WZTo2Q2L_2018,6.204,28576996,0.0129390227020363,8.9,1.02489998822829,,59600,ttZJets_2018,0.5407,32793815,0.000982676763895875,0,0
59600,WZTo3LNu_2018,5.052,9821283,0.0306578274956541,9.9,3.00477367284906,,59600,ZZTo4L_2018,1.325,97570000,0.000809367633493902,3.2,0.00828792456697756
59600,WWW_2018,0.2086,240000,0.0518023333333333,1.5,0.11655525,,59600,ttHTo2L2Nu_2018,0.5418,6828000,0.00472924428822496,0,0
59600,WZZ_2018,0.05565,300000,0.0110558,1.5,0.02487555,,59600,ttHToEE_2018,0.4975,854760,0.0346892695025504,0,0
59600,ZZZ_2018,0.01398,250000,0.003332832,1.5,0.007498872,,59600,ttHToMuMu_2018,0.5269,989000,0.0317525176946411,0,0
59600,ttWJets_2018,0.2043,26918526,0.000452338289251053,0,0,,59600,ttHToTauTau_2018,0.5269,2478000,0.012672816787732,0,0
59600,ttZJets_2018,0.5407,32793815,0.000982676763895875,0,0,,59600,ZHToMuMu_2018,0.7891,998626,0.0470950686242898,6,1.69542247047443
59600,ZZTo2L2Nu_2018,1.325,56886000,0.00138821502654432,3.2,0.0142153218718138,,59600,ZHToTauTau_2018,0.7891,14971244,0.00314137956738932,6,0.113089664426016
59600,ZZTo2Q2L_2018,3.22,26962069,0.0071178513785422,3.2,0.0728867981162722,,59600,GluGluZH_2018,0.7891,14971244,0.00314137956738932,6,0.113089664426016
59600,ZZTo4L_2018,1.325,97570000,0.000809367633493902,3.2,0.00828792456697756,,,,,,1.10925278534877,,4.24420901309398
59600,ST_s-channel_2018,3.74,19365999,0.011510069787776,1.4,0.0225597367840409,,,,,,,,
59600,ST_t-channel_antitop_2018,69.09,95627000,0.0430606836981187,1.4,0.0843989400483127,,59600,DYJetsToLLM10to50_2018,18610,94452816,11.7429638095703,0,0
59600,ST_t-channel_top_2018,115.3,178336000,0.0385333303427238,1.4,0.0755253274717387,,59600,DYJetsToLLM50_2018,6225.42,96233328,3.85557726944661,0,0
59600,ST_tW_antitop_2018,35.85,7749000,0.275733643050716,1.4,0.540437940379404,,59600,WGToLNuG_2018,489,9850083,2.95879740302696,0,0
59600,ST_tW_top_2018,35.85,7956000,0.268559577677225,1.4,0.52637677224736,,59600,WW_2018,75.8,15679000,0.288135722941514,5.7,9.3615296383698
59600,ttHTo2L2Nu_2018,0.5418,6828000,0.00472924428822496,0,0,,59600,WWTo2L2Nu_2018,12.178,9994000,0.0726244546728037,5.7,2.35956853231939
59600,ttHToEE_2018,0.4975,854760,0.0346892695025504,0,0,,59600,WZTo2Q2L_2018,6.204,28576996,0.0129390227020363,8.9,1.02489998822829
59600,ttHToMuMu_2018,0.5269,989000,0.0317525176946411,0,0,,59600,ZZTo2L2Nu_2018,1.325,56886000,0.00138821502654432,3.2,0.0142153218718138
59600,ttHToTauTau_2018,0.5269,2478000,0.012672816787732,0,0,,59600,ZZTo2Q2L_2018,3.22,26962069,0.0071178513785422,3.2,0.0728867981162722
59600,ZHToMuMu_2018,0.7891,998626,0.0470950686242898,6,1.69542247047443,,59600,ST_s-channel_2018,3.74,19365999,0.011510069787776,1.4,0.0225597367840409
59600,ZHToTauTau_2018,0.7891,14971244,0.00314137956738932,6,0.113089664426016,,59600,ST_t-channel_antitop_2018,69.09,95627000,0.0430606836981187,1.4,0.0843989400483127
59600,GluGluZH_2018,0.7891,14971244,0.00314137956738932,6,0.113089664426016,,59600,ST_t-channel_top_2018,115.3,178336000,0.0385333303427238,1.4,0.0755253274717387
,,,,1.10925278534877,,5.66530750645228,,59600,ST_tW_antitop_2018,35.85,7749000,0.275733643050716,1.4,0.540437940379404
,,,,,,,,59600,ST_tW_top_2018,35.85,7956000,0.268559577677225,1.4,0.52637677224736
,,,,,,,,,,,,,,3.75265226151271
